,MW,TPSA,XLogP,NHD,NHA,NRB
229,465.5,48.0,5.5,0,7,7
230,128.2,67.2,0.3,1,3,2
231,161.2,36.4,1.1,2,1,2
232,230.09,36.4,2.2,2,3,2
233,467.5,140.0,1.9,3,8,14
234,376.5,74.6,2.4,2,5,1
235,1559.8,856.0,-13.5,28,23,58
236,233.26,107.0,-0.7,4,5,7
237,211.22,88.2,-1.3,2,3,2
238,282.76,20.2,2.1,1,1,0
239,86.18,0.0,3.0,0,0,1
240,323.13,115.0,1.1,3,5,5
241,358.2,91.8,0.8,2,5,6
242,188.27,15.3,1.2,1,2,0
243,607.5,160.0,4.1,2,9,6
244,221.03,46.5,2.8,1,3,3
245,154.12,77.8,1.6,3,4,1
246,162.15,59.2,1.1,1,4,1
247,150.22,16.1,0.8,0,2,3
248,209.67,36.4,1.8,2,1,2
249,399.5,53.2,3.1,0,4,5
250,261.36,30.5,2.6,1,3,3
251,368.19,87.4,3.7,2,4,1
252,369.3,23.6,4.4,0,2,4
253,592.7,206.0,1.7,6,7,15
254,204.29,67.2,2.0,1,3,3
255,230.09,43.8,1.8,1,2,2
256,89.14,23.5,-0.4,1,2,2
257,356.6,65.9,5.4,1,4,4
258,149.19,43.1,1.1,1,2,2
259,122.99,0.0,1.8,0,0,0
260,72.11,17.1,0.3,0,1,1
261,118.48,0.0,1.9,0,3,0
262,98.48,0.0,1.5,0,2,0
263,165.19,52.3,1.2,1,2,3
264,282.4,35.5,4.5,2,3,4
265,88.15,20.2,1.2,1,1,2
266,88.15,20.2,0.9,1,1,1
267,114.23,0.0,4.3,0,0,4
268,100.2,0.0,3.7,0,0,3
269,142.28,0.0,5.3,0,0,6
270,128.25,0.0,4.8,0,0,5
271,86.18,0.0,3.2,0,0,2
272,74.12,20.2,0.8,1,1,1
273,524.7,74.2,7.6,1,6,27
274,304.3,101.0,2.5,1,6,4
275,343.3,64.6,3.9,1,8,5
276,86.13,17.1,0.9,0,1,2
277,161.24,26.0,1.9,1,1,1
278,325.4,37.4,4.4,1,4,8
279,128.09,20.2,1.0,1,4,0
280,313.4,39.7,3.0,1,4,6
281,371.5,12.5,7.1,0,2,8
282,318.33,56.8,2.6,1,7,9
283,146.12,108.0,-2.4,1,4,2
284,495.6,67.4,5.8,1,6,12
285,133.19,26.0,1.5,1,1,1
286,141.19,66.6,-0.7,1,4,1
287,408.9,71.4,2.6,1,5,2
288,410.9,74.6,2.5,2,5,2
289,162.23,16.1,1.2,0,2,1
290,259.3,38.8,2.8,0,3,2
