,MW,TPSA,XLogP,NHD,NHA,NRB
744,454.5,235.0,-0.4,2,12,7
745,262.17,23.5,3.0,1,2,4
746,124.14,41.5,0.0,1,2,0
747,265.6,49.7,2.1,2,3,4
748,360.3,29.5,3.0,0,3,11
749,358.1,0.0,3.9,0,0,3
750,177.45,20.2,2.0,1,1,0
751,64.51,0.0,1.2,0,0,0
752,303.8,12.5,4.1,0,2,6
753,211.64,38.3,2.1,1,2,2
754,257.22,99.0,-2.3,2,6,8
755,264.4,15.3,3.4,1,2,1
756,461.8,71.3,4.6,0,4,2
757,334.4,112.0,1.8,2,5,4
758,128.22,38.0,1.4,2,2,2
759,156.26,20.2,3.3,1,1,2
760,338.4,71.8,2.6,0,5,6
761,402.5,113.0,3.6,2,6,6
762,357.8,76.7,2.0,1,5,3
763,377.5,36.4,4.5,0,5,6
764,377.3,49.4,4.0,1,3,6
765,221.64,46.2,1.3,1,2,1
766,318.4,52.3,3.6,0,3,0
767,235.28,43.1,2.9,1,1,1
768,285.69,119.0,0.8,3,7,2
769,312.8,23.6,3.3,0,2,0
770,373.9,67.6,3.2,2,4,5
771,231.08,33.6,2.4,1,2,2
772,342.2,30.2,3.0,0,2,1
773,505.0,174.0,-1.2,5,10,9
774,300.74,40.6,2.1,0,2,1
775,481.1,52.8,5.4,1,4,6
776,495.0,80.7,4.5,1,6,5
777,309.9,12.5,4.6,0,2,7
778,284.78,41.6,2.6,1,3,8
779,443.9,40.5,4.1,1,7,6
780,300.8,15.3,4.6,1,2,4
781,161.65,41.1,2.1,0,2,2
782,398.9,55.9,3.2,1,4,5
783,496.0,35.6,6.9,1,4,7
784,324.8,35.5,4.2,0,3,4
785,272.17,12.5,4.2,0,2,6
786,344.9,31.8,4.3,0,3,1
787,343.9,44.1,3.6,0,3,1
788,442.0,60.9,4.2,1,4,6
789,284.78,56.8,2.4,1,4,9
790,435.9,138.0,2.4,2,7,4
791,405.0,68.1,3.2,1,6,6
792,342.8,45.7,2.5,1,3,1
793,313.5,23.5,5.5,1,2,3
794,780.9,203.0,1.3,6,14,7
795,530.7,102.0,3.9,2,6,5
796,291.4,20.3,3.6,0,2,3
797,380.4,42.5,4.1,2,7,6
798,569.1,108.0,3.8,1,9,8
799,323.5,55.6,4.4,0,4,4
800,368.4,76.7,4.5,2,4,8
801,972.8,475.0,-12.9,18,30,6
802,308.36,124.0,0.8,1,7,3
803,170.23,3.9,2.7,0,0,1
804,227.34,29.5,3.2,0,3,7
805,244.29,58.2,0.9,2,2,3
806,243.22,129.0,-2.1,4,5,2
807,286.28,120.0,-1.2,5,7,4
808,197.13,121.0,-5.3,4,6,5
809,320.16,86.6,0.6,3,4,6
810,102.09,64.4,-1.5,2,3,0
812,219.32,21.3,2.6,1,2,5
813,479.6,123.0,2.3,1,8,11
814,444.9,94.8,2.6,3,7,2
815,575.6,321.0,0.1,4,15,9
816,805.9,292.0,-0.7,9,15,9
817,460.6,107.0,3.3,1,7,7
818,142.28,0.0,5.0,0,0,7
819,174.11,101.0,-1.0,2,6,2
820,209.21,99.1,-1.1,2,6,4
821,168.04,9.2,2.6,0,7,2
822,186.25,28.7,2.7,1,1,2
823,84.93,0.0,1.5,0,0,0
824,407.6,85.6,4.1,1,4,3
825,74.12,9.2,0.9,0,1,2
826,301.4,41.9,2.2,1,4,1
827,251.29,61.7,-0.5,0,4,3
828,430.7,29.5,10.7,1,2,12
829,183.2,72.7,-1.4,4,4,3
830,176.12,107.0,-1.6,4,6,2
831,102.09,64.4,-1.5,2,3,0
832,197.19,104.0,-2.7,4,5,3
833,149.23,12.0,2.1,1,1,3
834,204.22,79.1,-1.1,3,3,3
835,271.4,12.5,3.4,0,2,1
836,257.37,23.5,3.1,1,2,0
837,315.4,69.6,1.9,3,3,4
838,144.6,20.2,1.5,1,1,3
839,483.5,177.0,0.9,5,10,3
840,262.35,33.7,1.7,1,4,3
841,284.4,48.8,3.1,0,3,2
842,280.4,15.3,4.3,1,2,5
843,267.4,28.5,3.9,0,2,2
844,291.4,23.5,3.1,1,2,0
845,426.5,55.6,4.6,1,3,7
846,398.8,120.0,1.8,3,5,6
847,527.5,186.0,1.8,5,11,4
848,287.74,57.5,1.3,2,3,3
849,250.34,15.6,2.9,0,1,1
850,175.23,53.1,0.8,2,1,1
851,337.5,70.8,5.2,1,4,13
852,381.4,52.6,3.1,1,4,6
853,456.6,119.0,2.4,3,7,6
854,266.4,15.3,3.7,1,2,3
855,305.2,41.5,3.1,1,2,1
856,430.4,182.0,0.1,6,9,2
857,278.3,33.6,4.0,1,3,4
858,292.4,38.0,3.4,1,2,6
859,278.4,6.5,5.0,0,2,4
860,187.28,3.2,2.8,0,1,4
861,578.7,109.0,4.1,1,9,9
862,310.8,24.9,4.5,1,2,0
863,376.5,74.6,2.3,2,5,2
864,434.5,101.0,2.8,2,7,4
865,268.27,98.8,-1.4,2,6,3
866,283.4,23.5,3.5,1,2,2
867,260.21,55.6,1.5,1,5,2
868,451.5,248.0,-5.8,9,13,6
869,295.4,26.8,2.7,0,3,3
870,490.6,141.0,3.8,1,8,11
871,202.3,15.3,2.3,1,2,0
872,308.2,62.8,1.7,0,3,1
873,322.2,12.5,4.5,0,2,2
874,319.2,41.6,3.7,1,3,7
875,290.8,54.6,4.2,1,3,3
876,252.35,29.3,4.4,1,2,3
877,424.5,101.0,2.3,0,8,11
878,298.4,31.8,4.9,0,3,5
879,578.7,181.0,2.6,2,9,20
880,399.4,64.1,1.6,1,8,3
881,449.6,18.5,6.1,1,5,10
882,583.7,118.0,2.4,3,6,4
883,310.5,31.8,4.6,0,3,2
884,311.5,23.5,3.7,1,2,7
885,295.4,21.7,4.0,0,3,4
886,294.4,6.5,5.4,0,2,4
887,163.26,3.2,2.7,0,1,3
888,140.14,49.4,-0.9,1,2,0
889,356.8,49.4,4.1,1,3,7
890,309.4,30.5,3.4,1,3,3
891,287.39,70.8,3.9,1,4,11
892,298.34,78.4,1.3,3,3,4
893,835.1,196.0,4.2,5,16,12
894,295.34,56.5,4.3,0,4,4
895,266.29,63.4,1.6,1,2,3
896,295.4,28.5,4.5,0,2,3
897,348.8,73.1,1.6,2,5,3
898,238.28,41.1,2.2,2,2,2
899,436.5,93.1,1.4,2,7,2
900,314.5,29.5,7.0,1,2,4
901,425.3,81.1,2.6,2,5,9
902,514.6,48.8,7.2,0,8,6
903,282.3,98.8,-1.8,2,4,4
904,404.5,71.0,3.7,2,5,11
905,293.4,58.6,2.7,2,3,9
906,426.5,80.7,2.5,1,7,5
907,432.5,72.9,2.8,1,8,10
908,295.37,67.8,1.9,2,5,10
909,303.13,63.6,3.8,1,4,6
910,88.11,26.3,0.7,0,2,2
911,106.16,0.0,3.1,0,0,1
912,62.07,40.5,-1.4,2,2,1
913,377.9,42.4,3.0,0,4,7
914,188.27,41.8,2.5,2,1,3
915,186.25,17.8,2.4,0,1,2
916,156.18,72.2,0.9,2,2,2
917,408.9,75.2,2.0,0,5,5
918,375.4,35.4,4.3,1,4,4
919,220.27,33.7,1.1,1,4,1
920,145.2,52.3,1.5,1,2,4
921,348.4,107.0,-0.7,3,6,8
922,219.28,29.5,2.5,0,2,5
923,324.2,49.2,3.1,1,4,2
924,292.4,40.6,1.7,0,2,6
925,2491.9,1040.0,-3.7,32,40,47
926,295.76,47.6,3.1,1,3,2
927,304.82,24.3,2.8,0,3,4
928,292.4,6.5,4.0,0,2,4
929,359.4,64.1,-0.2,1,7,4
930,452.5,60.5,4.1,0,7,8
931,165.23,32.3,0.9,2,2,3
932,346.5,74.6,1.9,2,4,2
933,282.76,41.6,1.8,1,3,5
934,729.9,146.0,1.1,2,12,4
935,290.4,6.5,3.5,0,2,0
936,733.9,194.0,2.7,5,14,7
937,862.1,226.0,3.4,4,17,14
938,806.0,209.0,4.0,4,16,11
939,304.4,58.6,1.7,1,4,6
940,204.31,64.5,-0.1,4,4,9
941,279.34,61.7,0.3,0,4,5
942,264.32,32.7,2.9,0,2,2
943,302.8,49.7,4.4,1,2,2
944,267.32,29.5,2.7,0,2,2
945,320.34,76.2,1.5,0,5,6
946,28.05,0.0,1.2,0,0,0
947,265.35,39.7,2.9,1,4,7
948,273.37,29.5,3.1,0,3,5
949,181.23,46.2,1.4,1,2,2
950,203.32,12.0,3.3,1,1,3
951,300.8,33.6,4.1,1,2,2
952,181.23,52.5,0.1,3,3,4
953,170.21,63.4,-0.3,1,2,3
954,419.0,45.2,3.6,1,5,11
955,244.29,44.1,3.0,0,3,5
956,411.5,62.2,3.1,2,5,4
957,168.26,53.2,1.3,1,3,1
958,326.5,31.8,5.5,0,3,5
959,434.5,93.1,2.5,2,7,2
960,470.6,44.7,5.1,2,4,8
961,280.4,23.6,3.0,0,2,4
962,341.4,70.5,1.4,1,4,6
963,322.2,32.6,5.5,1,2,5
964,217.26,46.2,1.9,1,2,2
965,245.1,33.6,2.2,1,2,3
966,191.23,38.3,1.2,1,2,1
967,439.6,114.0,3.1,0,7,8
968,356.7,15.6,5.6,0,6,2
969,304.31,32.8,3.0,0,6,6
970,250.29,19.0,3.0,1,3,1
971,422.5,101.0,1.7,2,7,4
972,330.4,59.1,3.0,1,5,1
973,309.4,18.8,2.9,0,3,1
974,437.5,55.2,4.4,1,8,6
975,301.4,46.6,3.8,1,4,4
976,126.08,9.2,1.9,0,4,2
977,318.73,52.9,2.3,1,4,1
978,450.5,28.4,5.4,1,5,6
979,274.24,41.6,1.9,1,5,2
980,385.5,53.2,2.8,0,4,3
981,496.5,220.0,-1.3,3,14,11
982,346.5,74.6,2.7,2,4,1
983,392.9,94.8,1.9,3,5,2
984,459.5,102.0,2.7,1,8,4
985,487.4,72.8,4.0,1,6,2
986,434.5,101.0,1.9,2,7,4
987,488.6,107.0,4.2,1,7,9
988,370.5,54.4,3.5,1,3,2
989,378.5,75.6,2.0,3,5,2
990,374.4,130.0,-1.7,5,9,5
991,506.6,242.0,0.7,3,12,7
992,496.6,101.0,3.9,2,7,5
993,390.4,94.8,1.5,3,6,2
994,521.5,183.0,2.2,4,9,6
995,481.5,153.0,2.7,2,8,6
996,463.5,153.0,2.9,2,8,9
997,508.9,188.0,-1.5,7,10,3
998,405.6,49.8,4.2,1,4,4
999,428.9,74.6,2.7,2,6,2
1000,273.29,78.3,2.9,0,6,3
1001,350.4,68.4,1.8,2,4,2
1002,405.4,128.0,2.3,2,6,11
1003,211.69,29.1,2.0,1,1,5
1004,376.5,49.8,3.5,0,5,7
1005,367.5,38.8,4.3,0,4,8
1006,215.33,12.0,3.3,1,1,3
1007,266.68,73.8,1.2,2,2,1
1008,218.29,33.6,2.0,1,2,4
1009,350.4,121.0,2.1,2,6,5
1010,204.22,50.7,1.6,1,3,2
1011,228.71,40.5,2.2,2,2,3
1012,266.3,63.8,1.4,1,4,3
1013,358.4,91.7,1.5,2,5,2
1014,305.4,21.1,3.8,0,2,6
1015,211.28,32.3,1.7,2,3,4
1016,415.5,74.3,2.0,2,7,6
1017,394.5,48.8,4.6,0,6,5
1018,356.4,32.8,3.6,0,5,7
1019,421.5,110.0,1.8,2,7,7
1020,360.5,35.9,2.9,1,5,7
1021,453.9,138.0,2.6,2,8,4
1022,494.6,101.0,3.9,2,8,5
1023,474.6,80.7,4.9,1,6,8
1024,188.22,42.5,1.6,0,3,2
1025,376.5,74.6,2.4,2,5,2
1026,376.5,74.6,2.0,2,5,1
1027,189.14,83.9,-0.5,1,5,3
1028,347.4,3.2,5.6,0,4,4
1029,452.5,93.1,2.5,2,8,2
1030,434.5,52.0,4.5,1,7,5
1031,452.5,61.2,4.9,1,8,7
1032,316.32,61.6,1.5,2,6,4
1033,413.5,52.6,3.1,1,6,6
1034,475.6,35.6,5.6,1,5,7
1035,443.6,83.5,4.2,1,9,6
1036,262.28,44.1,3.2,0,4,5
1037,441.4,209.0,-1.1,6,10,9
1038,360.8,49.7,2.1,0,3,3
1039,274.25,72.2,1.1,2,3,4
1040,614.6,353.0,-9.0,13,19,9
1041,421.5,52.1,3.7,0,7,3
1042,451.5,72.3,3.0,1,8,5
1043,229.32,16.4,3.2,0,2,5
1044,459.0,78.3,4.7,1,6,5
1045,398.5,152.0,0.6,2,8,9
1046,309.4,31.9,3.3,1,3,4
1047,471.5,200.0,1.3,2,12,12
1048,480.6,52.2,4.7,1,6,7
1049,414.3,53.1,2.8,0,4,5
1050,414.3,64.1,1.5,1,4,4
1051,476.9,182.0,0.9,6,9,2
1052,213.28,82.9,0.0,2,3,2
1053,287.35,41.9,1.8,1,4,1
1054,245.4,3.2,5.1,0,1,5
1055,424.9,73.4,5.1,1,5,7
1056,446.9,68.7,4.1,1,8,8
1057,299.4,23.5,4.9,1,2,3
1058,305.4,64.6,1.3,1,4,5
1059,449.5,214.0,-5.0,8,12,6
1060,359.5,69.6,1.8,0,6,6
1061,328.8,43.2,3.8,0,4,3
1062,297.3,49.8,2.2,1,4,1
1063,309.5,88.4,1.0,3,6,2
1064,116.16,21.8,0.6,0,2,3
1065,318.4,46.5,3.1,1,3,5
1066,156.21,106.0,1.2,2,3,1
1067,193.25,73.6,1.1,2,2,5
1068,349.4,138.0,-1.1,3,6,4
1069,530.1,46.6,7.9,0,5,16
1070,100.2,0.0,4.4,0,0,4
1071,86.18,0.0,3.9,0,0,3
1072,386.4,89.5,1.7,1,5,5
1073,332.5,37.3,5.0,1,2,1
1074,325.4,98.5,2.1,1,5,3
1075,275.34,49.8,1.9,1,4,4
1076,275.34,49.8,1.9,1,4,4
1077,451.5,55.2,4.7,1,8,6
1078,299.4,38.8,2.2,0,4,1
1079,263.33,49.8,2.1,1,4,4
1080,352.7,32.7,4.0,0,5,2
1081,455.0,72.8,3.6,1,6,2
1082,416.9,64.7,3.7,2,4,5
1083,250.29,75.3,2.0,2,3,2
1084,307.4,12.5,4.2,0,2,2
1085,283.4,46.2,4.0,2,2,7
1086,181.23,52.3,1.7,1,2,3
1087,182.17,121.0,-3.1,6,6,5
1088,236.27,66.5,1.5,1,3,1
1089,452.6,73.1,4.6,2,5,5
1090,314.9,6.5,4.2,0,2,3
1091,377.5,30.0,4.0,1,4,6
1092,451.6,51.2,3.8,1,5,6
1093,301.4,41.9,2.2,1,4,1
1094,404.5,101.0,2.2,2,6,4
1095,310.4,60.4,2.9,2,3,5
1096,228.33,27.8,3.3,2,1,3
1097,263.4,3.2,4.6,0,1,4
1098,285.4,3.2,4.5,0,1,1
1099,314.12,23.6,1.3,0,2,1
1100,141.939,0.0,1.5,0,0,0
1101,401.5,95.1,1.5,0,7,6
1102,130.18,26.3,2.0,0,2,4
1103,116.16,26.3,1.8,0,2,3
1104,102.13,26.3,0.9,0,2,2
1105,875.1,170.0,4.1,3,14,8
1106,208.1,43.1,2.0,1,1,3
1107,1304.5,552.0,-6.4,15,18,30
1108,368.9,41.9,3.4,0,3,6
1109,379.5,88.5,2.6,2,5,9
1110,426.5,64.8,4.1,0,7,8
1111,187.24,27.6,0.5,1,1,1
1112,493.6,86.3,3.5,2,7,7
1113,486.1,58.6,4.2,0,5,7
1114,267.75,26.8,1.7,0,2,4
1115,218.25,58.2,1.1,2,3,2
1116,296.4,21.3,4.8,0,2,4
1117,245.36,20.3,3.4,0,2,5
1118,231.29,30.5,1.9,1,3,3
1119,284.4,8.2,4.6,0,1,4
1120,242.7,50.4,2.0,2,3,5
1121,315.87,69.6,3.1,1,6,4
1122,88.15,20.2,1.2,1,1,2
1123,309.4,20.3,4.4,0,2,7
1124,284.4,31.8,4.2,0,3,3
1125,608.7,118.0,4.0,1,10,10
1126,358.4,60.0,2.3,1,5,9
1127,468.6,60.5,2.4,0,6,10
1128,461.5,163.0,1.7,2,9,7
1129,368.8,49.8,3.0,0,3,1
1130,349.77,113.0,-1.7,3,5,4
1131,484.5,283.0,-6.9,11,15,6
1132,483.5,288.0,-7.2,11,15,6
1133,478.5,127.0,1.9,2,9,6
1134,294.4,23.6,3.4,0,3,4
1135,247.33,40.5,1.0,1,3,3
1136,285.4,40.5,3.5,1,3,2
1137,318.37,86.4,2.2,1,4,5
1138,289.4,49.8,1.8,1,4,5
1139,378.4,121.0,2.7,2,6,6
1140,133.1,101.0,-2.8,3,5,3
1141,161.2,60.4,-0.2,1,3,3
1142,147.13,101.0,-3.7,3,5,4
1143,419.5,69.6,1.4,0,6,6
1144,444.5,91.5,2.9,3,7,6
1145,345.4,79.2,1.0,2,6,3
1146,406.5,33.3,5.8,2,6,6
1147,379.5,74.4,3.6,2,5,6
1148,379.5,53.6,2.3,2,4,6
1149,357.3,23.6,4.5,0,2,6
1150,409.3,61.6,1.5,1,4,4
1151,394.3,54.3,2.5,0,4,4
1152,338.4,42.5,2.9,2,4,5
1153,360.4,70.2,2.2,1,4,4
1154,371.4,37.4,4.0,0,5,7
1155,361.4,73.3,-0.4,1,8,2
1156,763.0,198.0,3.3,5,15,8
1157,527.7,113.0,3.7,2,5,11
1158,419.0,23.6,6.8,0,3,7
1159,394.2,92.5,2.3,2,4,6
1160,254.66,55.8,1.4,1,4,3
1161,570.7,97.4,3.0,1,9,5
1162,654.6,118.0,3.8,3,6,5
1163,807.9,224.0,1.6,5,14,13
1164,421.4,103.0,0.5,2,7,3
1165,314.4,60.8,3.8,2,4,3
1166,413.5,108.0,1.5,2,6,10
1167,538.5,134.0,2.7,3,11,9
1168,393.6,37.3,4.1,1,2,3
1169,372.5,46.5,6.4,1,3,6
1170,581.1,115.0,5.1,2,9,11
1171,320.82,50.1,1.8,0,5,6
1172,311.4,52.9,1.9,2,4,2
1173,170.21,63.4,-0.3,1,2,3
1174,308.8,46.5,3.5,1,2,3
1175,496.7,26.7,8.8,1,3,9
1176,367.8,138.0,-1.8,3,6,4
1177,472.5,114.0,1.9,1,7,4
1178,406.5,148.0,0.2,5,8,7
1179,391.5,46.1,4.1,0,3,5
1180,241.33,21.3,2.9,1,2,3
1181,277.4,12.0,5.1,1,1,3
1182,289.76,49.2,2.5,1,4,2
1183,272.73,32.3,2.5,1,2,1
1184,239.74,12.5,3.1,0,2,2
1185,322.1,74.6,2.7,2,4,1
1186,274.5,30.7,3.8,0,2,2
1187,335.2,52.9,2.4,1,3,1
1188,405.5,37.2,3.3,0,7,4
1189,223.22,64.6,1.1,1,4,2
1190,377.4,57.8,3.0,1,5,4
1191,602.6,243.0,-4.4,9,13,10
1192,106.16,0.0,3.2,0,0,0
1193,508.5,99.1,3.7,1,9,5
1194,516.7,104.0,5.5,3,6,6
1195,520.6,99.1,3.6,1,9,5
1196,346.8,50.8,3.2,1,4,6
1197,349.3,68.2,2.2,1,8,7
1198,197.22,26.0,2.3,1,3,4
1199,270.71,32.7,2.8,0,2,1
1200,263.35,20.3,3.3,0,3,5
1201,223.22,56.8,1.4,1,4,4
1202,218.25,49.4,1.5,1,2,2
1203,221.25,47.6,2.2,1,3,3
1204,149.23,12.0,2.1,1,1,3
1205,250.29,32.7,2.5,0,2,1
1206,218.25,49.4,1.5,1,2,2
1207,288.4,116.0,3.0,2,4,6
1208,262.3,66.5,2.3,1,3,3
1209,203.24,37.4,1.2,0,2,1
1210,599.6,172.0,3.6,4,12,7
1211,74.08,26.3,0.2,0,2,1
1212,98.19,0.0,3.6,0,0,0
1213,84.16,0.0,3.4,0,0,0
1214,217.15,118.0,-4.2,3,7,2
1215,357.1,50.4,3.3,2,14,0
1216,154.21,24.8,0.7,0,3,2
1217,409.5,50.0,4.3,1,5,7
1218,219.17,93.1,0.1,1,6,5
1219,416.4,99.8,0.3,2,10,3
1220,656.7,189.0,1.2,3,14,6
1221,418.5,72.8,3.2,1,6,1
1222,486.6,101.0,4.7,2,6,7
1223,341.4,138.0,1.3,3,6,3
1224,177.25,29.0,1.5,0,3,1
1225,276.37,45.3,1.7,1,3,3
1226,401.4,138.0,2.4,2,7,4
1227,434.5,48.9,3.9,0,6,7
1228,168.16,109.0,0.6,3,5,3
1229,277.4,12.5,3.4,0,2,0
1230,421.6,36.0,4.4,0,4,6
1231,136.19,38.0,0.9,2,2,2
1232,232.28,105.0,1.4,2,4,8
1233,221.47,61.4,0.7,3,2,1
1234,317.9,12.5,4.6,0,2,6
1235,257.33,21.7,3.8,0,3,6
1236,360.9,24.9,4.4,0,4,6
1237,291.4,3.2,5.6,0,1,3
1238,299.32,78.5,2.4,0,4,1
1239,246.26,66.5,1.8,1,3,2
1240,586.6,194.0,-2.3,7,12,6
1241,304.82,35.2,3.2,1,3,4
1242,329.5,58.0,3.4,1,4,5
1243,393.7,24.8,4.4,0,3,3
1244,214.69,40.5,1.8,2,2,2
1245,177.24,20.3,2.1,0,2,3
1246,238.33,15.3,3.0,1,2,1
1247,217.26,38.3,2.3,1,2,2
1248,353.5,29.5,4.3,0,3,9
1249,344.5,57.1,5.2,0,4,5
1250,231.33,23.5,1.8,1,2,0
1251,314.4,41.0,4.9,0,4,5
1252,475.6,104.0,3.1,2,7,8
1253,299.4,49.8,2.0,1,4,0
1254,356.4,66.8,1.6,2,4,2
1255,416.5,101.0,2.7,2,6,4
1256,323.5,44.1,3.3,0,3,1
1257,598.2,89.0,6.3,0,9,12
1258,230.26,44.1,2.7,0,3,4
1259,445.6,117.0,3.1,1,6,6
1260,322.4,24.9,3.6,0,4,2
1261,255.31,29.8,1.4,0,2,1
1262,179.26,35.2,2.1,1,2,3
1263,266.4,15.3,3.5,1,2,4
1264,287.81,69.6,2.3,1,6,3
1265,495.6,67.4,5.8,1,6,12
1266,361.4,124.0,3.0,2,6,5
1267,246.35,46.3,1.4,1,2,5
1268,867.0,228.0,2.8,4,12,7
1269,144.21,55.1,0.5,2,2,6
1270,415.9,52.6,3.7,1,4,6
1271,263.2,85.3,1.8,1,7,2
1272,408.5,45.3,4.8,1,4,7
1273,376.5,62.5,3.1,0,5,6
1274,439.0,136.0,2.7,5,7,9
1275,334.33,147.0,-0.4,3,8,4
1276,717.3,126.0,5.4,0,10,12
1277,396.4,106.0,2.8,3,6,6
1278,280.4,15.3,5.5,1,2,4
1279,355.4,40.5,3.0,1,4,6
1280,361.5,40.5,4.2,1,3,3
1281,347.5,23.5,5.1,1,2,3
1282,406.5,60.9,3.3,0,6,4
1283,301.34,70.0,0.8,2,5,0
1284,495.5,90.8,2.7,0,8,6
1285,288.34,49.8,1.0,0,4,3
1286,479.1,38.8,5.4,1,4,4
1287,325.32,87.7,2.0,0,5,3
1288,314.4,70.5,1.7,2,6,5
1289,299.4,38.8,2.2,0,4,1
1290,394.4,115.0,1.2,4,7,2
1291,585.8,48.0,9.5,0,5,17
1292,373.4,70.3,1.8,0,4,4
1293,123.16,29.0,0.9,0,3,1
1294,357.5,12.5,5.4,0,2,9
1295,156.21,106.0,0.5,2,3,1
1296,357.4,73.2,0.2,3,5,2
1297,359.5,44.8,3.6,1,4,8
1298,271.74,21.3,3.3,1,2,0
1299,270.4,40.6,4.1,1,3,4
1300,300.4,49.7,0.8,2,3,0
1301,409.5,43.9,3.2,0,5,6
1302,285.34,50.7,0.7,2,4,1
1303,451.6,71.7,3.4,2,4,8
1304,318.4,55.6,2.8,1,4,4
1305,236.27,34.9,2.8,0,2,3
1306,570.6,141.0,3.2,4,9,6
1307,339.4,52.9,2.7,2,4,2
1308,341.4,70.0,1.9,2,5,2
1309,230.26,46.5,3.3,1,3,3
1310,283.4,32.7,3.3,1,3,0
1311,1141.4,326.0,4.6,10,12,16
1312,505.6,140.0,2.9,3,8,12
1313,428.5,73.0,2.5,1,6,5
1314,447.5,214.0,-5.1,8,12,6
1315,810.9,211.0,5.5,5,13,8
1316,314.5,34.1,3.9,0,2,1
1317,346.5,74.6,1.9,2,4,2
1318,394.4,61.6,3.6,1,5,5
1319,223.29,29.5,1.5,0,2,3
1320,274.36,90.6,2.6,2,4,9
1321,231.21,109.0,1.8,2,4,2
1322,128.25,0.0,4.5,0,0,6
1323,243.34,32.3,2.6,2,2,0
1324,670.7,178.0,1.6,2,14,7
1325,697.8,201.0,4.9,6,12,3
1326,543.5,206.0,1.3,6,12,5
1327,527.6,171.0,-0.9,6,10,4
1328,267.24,93.2,0.0,2,6,3
1329,897.1,240.0,6.8,9,7,22
1330,537.8,38.8,8.9,0,4,12
1331,293.4,20.3,3.9,0,2,4
1332,651.8,127.0,-1.0,2,12,24
1333,212.29,24.4,2.7,1,1,3
1334,212.29,24.4,1.5,1,1,2
1335,434.5,93.1,2.5,2,7,2
1336,238.28,75.3,2.1,2,3,4
1337,405.4,71.0,3.0,3,7,6
1338,204.27,46.3,0.2,1,2,3
1339,246.3,49.4,1.4,1,2,3
1340,285.34,52.9,0.8,2,4,0
1341,309.4,69.2,1.6,1,5,3
1342,645.7,210.0,3.8,6,12,6
1343,221.3,12.0,2.8,1,1,0
1344,298.34,83.1,0.9,3,4,7
1345,356.4,48.5,2.6,1,5,6
1346,192.21,42.4,-0.1,0,3,1
1347,178.23,33.2,0.3,0,2,3
1348,271.35,30.5,3.1,1,3,7
1349,329.8,32.7,4.0,1,3,1
1350,238.33,29.3,2.6,1,2,1
1351,289.4,20.3,3.5,0,3,5
1352,260.38,53.6,4.9,2,3,9
1353,304.8,40.6,4.7,1,3,4
1354,313.78,85.6,0.8,3,5,4
1355,286.71,49.4,1.9,1,2,1
1356,270.71,41.5,2.9,1,2,1
1357,153.18,66.5,-0.8,3,3,2
1358,295.3,35.2,3.5,1,5,5
1359,295.4,20.3,3.5,0,2,7
1360,271.31,61.7,0.3,3,4,0
1361,274.74,41.5,3.0,1,2,1
1362,356.6,65.9,5.4,1,4,4
1363,440.6,72.7,3.3,1,6,13
1364,285.34,49.8,1.8,1,4,0
1365,294.4,24.8,4.3,0,3,4
1366,353.9,28.5,5.5,0,2,1
1367,7127.0,2860.0,-13.7,40,167,176
1368,106.16,0.0,3.1,0,0,0
1369,275.4,12.0,3.8,1,1,3
1370,306.4,46.5,3.7,1,3,0
1371,293.4,32.3,3.6,2,2,4
1372,252.27,63.4,1.7,1,2,0
1373,1007.2,450.0,-2.6,12,15,17
1374,420.5,61.9,3.3,0,6,4
1375,370.5,32.8,3.6,0,4,7
1376,301.3,73.0,1.5,0,5,3
1377,144.26,38.0,2.4,2,2,6
1378,413.2,151.0,3.4,2,8,2
1379,363.5,30.0,3.6,1,4,6
1380,548.4,212.0,1.1,2,11,7
1381,454.5,138.0,3.0,2,7,7
1382,363.4,158.0,-2.1,4,7,4
1383,443.6,77.5,3.8,0,6,5
1384,219.62,83.9,0.6,1,4,3
1385,240.3,75.3,2.5,2,3,6
1386,273.29,12.5,3.2,0,5,2
1387,507.6,53.5,5.4,0,9,7
1388,157.21,55.6,0.9,1,2,4
1389,460.4,202.0,-1.6,7,10,2
1390,315.4,59.0,1.2,1,5,1
1391,255.35,18.1,3.6,0,1,5
1392,181.23,52.5,0.6,3,3,3
1393,337.4,44.8,3.6,1,3,5
1394,44.05,12.5,-0.1,0,1,0
1395,295.4,29.5,3.1,0,2,3
1396,330.4,49.0,3.4,0,4,4
1397,209.24,72.6,1.1,2,3,5
1398,418.5,80.7,2.6,1,6,3
1399,333.4,62.2,1.6,2,5,2
1400,354.5,41.0,5.4,0,4,4
1401,106.16,0.0,3.2,0,0,0
1402,335.4,77.0,2.4,0,5,3
1403,132.16,27.7,0.7,0,3,0
1404,157.17,46.6,0.8,0,3,1
1405,478.9,84.9,2.8,0,6,3
1406,413.5,131.0,1.1,3,6,9
1407,524.0,23.5,7.3,1,7,7
1408,235.32,30.5,3.0,1,3,5
1409,72.15,0.0,3.4,0,0,2
1410,291.4,18.8,2.8,0,2,1
1411,949.2,186.0,9.5,0,12,12
1412,321.5,23.5,3.8,1,2,3
1413,243.4,3.2,3.6,0,1,2
1414,247.38,23.5,4.2,1,2,3
1415,366.5,41.6,4.5,1,4,9
1416,410.6,69.1,4.0,1,5,7
1417,714.1,104.0,11.6,0,8,24
1418,240.3,85.6,-0.1,4,5,5
